,sex,age,marital_status,number_of_dependants,annual_income,account_type,credit_limit,number_of_accounts,months_since_openning,outstanding_balance,utilisation_ratio,total_amount_of_transactions,total_number_of_transactions,number_of_contacts_over_12_months,months_inactive_over_12_months,Predicted
280,M,53,Married,1,$90K - $110K,Silver,2540.0,3,47,1859,0.732,4480,80,1,3,0
281,F,46,Married,2,Less than $50K,Silver,1438.3,6,40,510,0.355,3399,66,2,4,0
282,F,56,Single,3,Less than $50K,Silver,8340.0,6,48,1902,0.228,3755,77,3,5,0
283,M,45,Single,4,$70K - $90K,Silver,13445.0,2,35,1186,0.088,7377,82,3,2,0
284,M,44,Unknown,2,$90K - $110K,Silver,15821.0,2,37,1334,0.084,8927,103,0,3,0
285,F,40,Single,3,Less than $50K,Silver,2391.0,5,31,0,0.0,2857,40,2,3,1
286,F,49,Single,3,$50K - $70K,Silver,2655.0,1,38,2283,0.86,2386,49,3,2,1
287,F,35,Married,2,Less than $50K,Silver,2544.0,4,22,1848,0.726,2289,49,3,3,0
288,F,37,Married,2,Unknown,Silver,5245.0,2,27,1044,0.199,4938,70,2,1,0
289,F,31,Divorced,0,Less than $50K,Silver,4871.0,6,36,0,0.0,2773,34,3,3,1
290,M,39,Single,3,$90K - $110K,Gold,34516.0,5,36,1900,0.055,1668,36,2,3,0
291,M,49,Married,3,$70K - $90K,Silver,1511.0,6,34,0,0.0,1329,35,3,3,0
292,M,42,Married,4,$70K - $90K,Silver,9906.0,1,32,1759,0.178,4033,76,2,1,0
293,M,43,Divorced,2,$110K and Over,Gold,34516.0,4,24,1938,0.056,1215,45,0,2,0
294,F,38,Married,0,Unknown,Silver,16049.0,5,28,799,0.05,1989,33,3,3,0
295,F,44,Single,2,Less than $50K,Silver,2568.0,5,37,1875,0.73,4254,85,3,2,0
296,M,44,Unknown,4,$110K and Over,Silver,8874.0,5,34,1590,0.179,1849,56,3,3,0
297,F,35,Married,2,Less than $50K,Silver,2664.0,3,36,0,0.0,3135,59,3,1,0
298,M,54,Married,2,$90K - $110K,Silver,18750.0,4,44,1705,0.091,1200,36,3,3,0
299,F,57,Single,3,Unknown,Silver,7469.0,4,39,1752,0.235,2050,46,2,1,0
300,M,65,Single,1,Less than $50K,Silver,4599.0,3,54,1438,0.313,4208,69,3,1,0
301,F,45,Single,4,$50K - $70K,Silver,1850.0,3,35,621,0.336,4234,74,2,5,0
302,M,41,Married,1,$70K - $90K,Silver,7984.0,3,25,1503,0.188,1734,39,0,2,0
303,F,52,Married,2,Less than $50K,Silver,6897.0,3,43,640,0.093,2781,57,3,3,0
304,F,45,Single,4,Less than $50K,Silver,1438.3,5,40,0,0.0,2207,41,3,4,1
305,M,44,Married,5,$70K - $90K,Gold,33521.0,3,38,928,0.028,4115,66,2,2,0
306,F,48,Married,1,Unknown,Silver,14228.0,6,36,1953,0.137,1970,51,4,4,0
307,F,47,Married,3,Less than $50K,Silver,2821.0,4,32,951,0.337,1452,38,2,3,0
308,M,49,Married,2,$90K - $110K,Silver,3090.0,2,36,0,0.0,14198,101,3,1,0
309,F,52,Single,2,Less than $50K,Silver,2971.0,6,44,0,0.0,4458,63,3,3,0
310,F,57,Married,2,Less than $50K,Silver,2712.0,3,36,1445,0.533,4520,79,1,0,0
311,F,46,Unknown,3,Unknown,Silver,8869.0,3,30,0,0.0,1935,40,1,2,1
312,F,35,Single,3,Unknown,Silver,1438.3,4,29,0,0.0,2549,56,3,2,1
313,F,47,Divorced,2,$50K - $70K,Silver,5624.0,6,33,1216,0.216,3843,66,3,2,0
314,F,46,Married,4,Less than $50K,Silver,5387.0,6,34,1133,0.21,4374,76,3,1,0
315,M,36,Married,0,$90K - $110K,Silver,5302.0,5,30,2414,0.455,4284,74,2,3,0
316,M,45,Married,4,$70K - $90K,Silver,3035.0,6,26,1498,0.494,4275,67,2,2,0
317,M,28,Single,1,Less than $50K,Silver,2897.0,4,14,1398,0.483,2698,73,1,3,0
318,F,48,Divorced,3,Less than $50K,Silver,3968.0,5,36,935,0.236,4128,72,4,1,0
319,M,46,Married,5,$70K - $90K,Silver,24248.0,3,39,1020,0.042,3311,84,3,2,0
320,M,40,Single,2,$110K and Over,Silver,20891.0,3,33,1213,0.058,14641,117,2,1,0
321,M,55,Divorced,0,$90K - $110K,Silver,19793.0,4,44,2488,0.126,2186,44,3,3,1
322,F,37,Single,4,$50K - $70K,Silver,3093.0,5,36,2517,0.814,1371,23,1,3,0
323,M,61,Single,1,$50K - $70K,Silver,5039.0,6,36,1352,0.268,3300,68,1,1,0
324,M,44,Single,0,$70K - $90K,Silver,6606.0,6,36,2517,0.381,4493,68,2,3,0
325,M,33,Married,3,$90K - $110K,Silver,16434.0,4,25,2104,0.128,1726,37,3,2,0
326,M,41,Married,3,$70K - $90K,Silver,17391.0,5,36,1044,0.06,1248,27,2,3,0
327,F,48,Single,4,Less than $50K,Silver,4894.0,4,38,1505,0.308,3277,67,3,3,0
328,F,45,Married,4,Less than $50K,Silver,7924.0,5,36,1896,0.239,3270,58,1,1,0
329,F,42,Single,4,Less than $50K,Silver,1438.3,3,19,0,0.0,3786,67,0,2,0
330,M,53,Married,1,$90K - $110K,Silver,13457.0,4,36,1248,0.093,1548,41,3,2,0
331,F,62,Married,2,Less than $50K,Silver,2490.0,4,52,513,0.206,864,20,2,2,1
332,M,32,Married,1,$70K - $90K,Silver,4116.0,4,24,1223,0.297,1657,38,2,2,0
333,M,61,Married,0,Less than $50K,Silver,1438.3,6,56,0,0.0,1448,31,4,3,0
334,M,56,Married,2,$50K - $70K,Silver,3295.0,5,36,2002,0.608,1191,34,3,2,0
335,M,53,Married,3,$70K - $90K,Gold,32417.0,1,38,871,0.027,14381,121,2,3,0
336,F,53,Divorced,1,Less than $50K,Silver,3424.0,5,46,1333,0.389,4485,61,3,4,0
337,F,51,Married,0,$50K - $70K,Silver,5450.0,6,40,1674,0.307,3722,77,2,2,0
338,F,44,Divorced,2,Less than $50K,Silver,1438.3,5,27,679,0.472,1117,29,2,2,0
339,M,52,Single,2,$90K - $110K,Silver,22103.0,3,36,1515,0.069,1541,29,4,1,0
340,F,45,Single,2,Less than $50K,Silver,3036.0,3,37,2517,0.829,2609,42,1,3,1
341,F,42,Married,4,Less than $50K,Silver,2410.0,2,31,1769,0.734,1217,30,2,2,0
342,M,47,Married,1,$70K - $90K,Silver,3394.0,3,29,0,0.0,3115,69,2,2,0
343,M,59,Single,1,$70K - $90K,Silver,3943.0,4,45,2517,0.638,3527,59,4,2,0
344,M,30,Married,0,$50K - $70K,Silver,4063.0,6,23,0,0.0,7463,70,4,2,1
345,M,57,Married,3,$90K - $110K,Silver,2472.0,5,38,2457,0.994,1392,33,3,3,0
346,F,47,Married,4,Less than $50K,Silver,4012.0,3,28,0,0.0,2962,60,4,2,0
347,M,49,Single,1,$90K - $110K,Silver,5898.0,6,31,1348,0.229,1002,21,4,1,0
348,M,42,Married,3,$70K - $90K,Silver,12294.0,3,29,2517,0.205,7906,87,1,3,0
349,F,43,Single,4,$50K - $70K,Silver,1531.0,6,36,0,0.0,4152,77,1,3,0
350,F,51,Divorced,2,Less than $50K,Silver,1438.3,2,36,0,0.0,4866,65,1,1,0
351,F,48,Married,4,Less than $50K,Silver,2930.0,5,36,773,0.264,1545,21,1,1,0
352,M,53,Single,4,$70K - $90K,Silver,8386.0,3,42,2375,0.283,4101,67,4,3,0
353,M,59,Single,1,$70K - $90K,Silver,8973.0,6,51,1300,0.145,4699,72,4,2,0
354,F,52,Married,2,Less than $50K,Silver,2427.0,1,37,2362,0.973,4663,85,3,3,0
355,M,49,Married,4,$90K - $110K,Silver,34516.0,5,39,543,0.016,3951,76,1,1,0
356,M,40,Single,3,$70K - $90K,Gold,25219.0,6,35,1503,0.06,4429,87,2,3,0
357,F,36,Single,2,$50K - $70K,Silver,3131.0,3,26,2379,0.76,2315,63,4,2,0
358,F,37,Married,3,Unknown,Silver,4554.0,5,30,780,0.171,4816,81,3,3,0
359,F,50,Divorced,3,$50K - $70K,Silver,3028.0,3,39,1339,0.442,4144,64,2,2,0
360,F,53,Single,4,Unknown,Diamond,34516.0,5,41,2374,0.069,4390,77,2,1,0
361,F,57,Single,3,Less than $50K,Silver,2347.0,4,36,1900,0.81,2447,47,3,3,1
362,M,55,Single,1,$110K and Over,Silver,24542.0,3,41,2354,0.096,984,24,4,4,1
363,F,57,Married,2,$50K - $70K,Silver,5073.0,3,46,1533,0.302,13420,122,3,1,0
364,M,54,Married,4,$110K and Over,Silver,2872.0,4,50,2035,0.709,1770,47,0,2,0
365,F,60,Married,0,Less than $50K,Silver,3955.0,3,49,2000,0.506,1560,43,2,1,0
366,F,45,Married,0,$50K - $70K,Gold,19107.0,1,36,933,0.049,8987,89,3,1,0
367,M,56,Single,4,$90K - $110K,Silver,34516.0,4,40,0,0.0,4714,82,3,3,0
368,F,51,Married,3,Less than $50K,Silver,3025.0,6,35,1912,0.632,4626,78,3,1,0
369,M,39,Single,1,$110K and Over,Silver,10074.0,6,24,2517,0.25,1729,52,4,2,0
370,M,38,Single,3,$70K - $90K,Silver,18293.0,3,25,0,0.0,2958,63,4,3,0
371,F,50,Single,2,Unknown,Silver,2611.0,6,36,1824,0.699,4232,80,4,2,0
372,F,37,Single,4,Less than $50K,Silver,2286.0,3,36,0,0.0,5199,83,3,3,0
373,M,42,Married,1,$70K - $90K,Silver,17165.0,6,33,1153,0.067,4063,62,3,2,0
374,M,62,Single,1,$70K - $90K,Silver,12814.0,4,49,1010,0.079,3566,76,2,1,0
375,M,42,Married,4,$50K - $70K,Silver,3108.0,1,33,2280,0.734,14763,99,2,2,0
376,M,55,Single,1,$90K - $110K,Silver,21032.0,3,46,1409,0.067,15584,105,1,1,0
377,F,55,Married,2,Less than $50K,Silver,3187.0,5,45,2517,0.79,1627,38,0,2,0
378,M,35,Married,3,$70K - $90K,Silver,2066.0,3,24,1699,0.822,1895,43,2,2,0
379,F,56,Single,3,Less than $50K,Silver,4255.0,5,36,0,0.0,4606,79,2,5,0
380,F,48,Divorced,1,Less than $50K,Silver,4668.0,3,38,0,0.0,4163,77,2,3,0
381,M,37,Single,2,$90K - $110K,Silver,12944.0,3,36,1399,0.108,4389,84,2,2,0
382,M,45,Unknown,3,$70K - $90K,Silver,5996.0,3,39,865,0.144,4542,77,3,2,0
383,F,50,Single,1,Less than $50K,Silver,1837.0,6,37,665,0.362,4752,88,1,1,0
384,F,43,Married,3,Less than $50K,Silver,2435.0,5,35,1595,0.655,5268,88,3,3,0
385,F,35,Married,2,Less than $50K,Silver,3230.0,5,21,2517,0.779,1914,31,2,1,0
386,F,36,Married,5,Less than $50K,Silver,1438.3,3,17,0,0.0,1975,40,3,1,1
387,F,46,Single,4,Less than $50K,Silver,2671.0,6,38,1713,0.641,4519,79,2,2,0
388,M,44,Married,2,$70K - $90K,Silver,4141.0,3,36,1424,0.344,3512,65,2,1,0
389,F,46,Married,4,Unknown,Silver,2286.0,4,36,0,0.0,2798,40,4,3,1
390,F,42,Married,4,Less than $50K,Diamond,15987.0,2,36,1187,0.074,7471,88,2,3,0
391,F,37,Single,2,Less than $50K,Silver,2448.0,4,22,1740,0.711,4087,81,4,2,0
392,F,43,Married,1,Less than $50K,Silver,2667.0,6,32,1590,0.596,4596,85,2,2,0
393,M,43,Married,4,$110K and Over,Silver,6467.0,6,31,1887,0.292,4098,61,3,1,0
394,F,61,Single,0,$50K - $70K,Silver,7118.0,4,56,813,0.114,3964,66,5,3,0
395,F,26,Single,1,Unknown,Silver,2751.0,4,16,1599,0.581,2270,44,3,3,0
396,F,44,Single,1,Less than $50K,Silver,1550.0,2,31,716,0.462,4534,87,3,2,0
397,M,55,Single,2,$90K - $110K,Silver,10604.0,5,36,1988,0.187,1578,30,2,2,0
398,M,35,Single,3,$90K - $110K,Silver,6510.0,3,25,2055,0.316,2238,49,3,2,0
399,F,53,Married,2,Unknown,Silver,5659.0,5,41,1393,0.246,1570,40,3,1,0
400,F,46,Divorced,4,Less than $50K,Silver,9478.0,5,36,820,0.087,1327,41,1,3,0
401,M,46,Divorced,3,$70K - $90K,Silver,11501.0,4,34,713,0.062,1481,41,0,3,0
402,F,47,Single,2,Unknown,Silver,1491.0,3,31,0,0.0,4634,92,3,2,0
403,M,40,Married,3,$70K - $90K,Silver,9026.0,6,27,2312,0.256,2229,37,4,2,0
404,F,48,Single,3,$50K - $70K,Silver,5724.0,4,33,582,0.102,4510,59,3,2,0
405,M,59,Married,1,$70K - $90K,Silver,3742.0,4,36,1175,0.314,1505,31,3,3,0
406,F,59,Single,0,$50K - $70K,Silver,1852.0,2,52,0,0.0,2851,49,3,4,1
407,F,41,Married,1,Less than $50K,Silver,2909.0,2,31,1201,0.413,4230,68,2,2,0
408,F,60,Unknown,1,$50K - $70K,Silver,5362.0,3,48,2057,0.384,4205,83,4,3,0
409,M,53,Single,3,$90K - $110K,Gold,34516.0,1,39,1198,0.035,4826,70,3,2,0
410,F,45,Married,5,Unknown,Silver,2467.0,3,37,1446,0.586,5024,81,1,1,0
411,M,50,Married,2,$50K - $70K,Silver,5435.0,4,40,1243,0.229,16202,117,2,3,0
412,M,51,Single,2,$70K - $90K,Silver,16703.0,1,42,1140,0.068,15472,122,2,3,0
413,M,50,Single,1,$110K and Over,Silver,13032.0,4,41,1701,0.131,4348,77,3,1,0
414,M,62,Unknown,0,$50K - $70K,Silver,3477.0,2,56,0,0.0,2113,40,2,6,1
415,M,47,Single,5,$90K - $110K,Silver,13241.0,6,39,0,0.0,3157,76,3,2,0
416,M,53,Married,1,$110K and Over,Silver,3088.0,3,48,2083,0.675,1561,40,3,2,0
417,M,43,Divorced,4,$90K - $110K,Silver,34516.0,3,36,1048,0.03,4192,73,2,3,0
418,F,38,Single,2,Less than $50K,Silver,1438.3,6,25,538,0.374,4093,73,2,2,0
419,M,49,Married,3,$90K - $110K,Silver,2509.0,5,40,450,0.179,2239,47,3,4,1
420,F,49,Married,0,Less than $50K,Silver,3547.0,3,40,2517,0.71,2715,45,4,4,1
421,M,55,Single,2,$110K and Over,Silver,29795.0,6,36,2364,0.079,3949,71,3,2,0
422,M,52,Married,3,$110K and Over,Silver,6355.0,3,47,0,0.0,4009,74,4,2,0
423,M,53,Married,5,$90K - $110K,Silver,9517.0,6,48,1869,0.196,1453,26,0,1,0
424,F,51,Single,1,$50K - $70K,Silver,2146.0,3,36,967,0.451,4253,74,1,3,0
425,F,43,Married,3,Less than $50K,Silver,1484.0,2,24,0,0.0,4838,81,1,2,0
426,M,42,Divorced,1,$90K - $110K,Silver,11946.0,4,38,1172,0.098,4862,77,1,2,0
427,F,50,Married,3,Less than $50K,Silver,2240.0,4,42,0,0.0,1905,39,2,1,0
428,F,56,Married,3,$50K - $70K,Silver,1438.3,5,51,0,0.0,594,14,1,2,1
429,M,37,Married,5,$70K - $90K,Silver,3351.0,5,31,1847,0.551,1910,43,4,3,0
430,M,42,Single,2,$70K - $90K,Silver,5169.0,3,31,2296,0.444,4656,88,1,2,0
431,M,52,Married,2,$90K - $110K,Silver,16207.0,4,41,922,0.057,3621,83,3,2,0
432,F,50,Married,1,Unknown,Silver,1461.0,2,37,0,0.0,2176,40,3,2,1
433,F,39,Single,2,Less than $50K,Silver,9235.0,5,35,1479,0.16,1537,49,3,3,0
434,F,43,Married,0,Less than $50K,Silver,8401.0,1,35,1085,0.129,7697,98,0,1,0
435,F,26,Married,0,$50K - $70K,Silver,2010.0,2,13,1070,0.532,3625,85,3,3,0
436,M,40,Married,3,$70K - $90K,Silver,4716.0,5,21,0,0.0,816,28,0,1,1
437,F,47,Married,2,Less than $50K,Silver,3899.0,5,39,0,0.0,2182,40,3,3,1
438,F,44,Single,3,Unknown,Silver,26021.0,2,34,0,0.0,8898,60,3,3,1
439,F,61,Single,1,Unknown,Silver,6673.0,4,50,2458,0.368,4141,82,1,4,0
440,F,42,Married,5,Less than $50K,Silver,2541.0,5,37,1398,0.55,4698,88,3,2,0
441,F,45,Divorced,3,Less than $50K,Silver,8121.0,4,36,1595,0.196,1914,45,3,3,0
442,F,48,Married,2,Less than $50K,Silver,4176.0,3,40,1248,0.299,4889,62,3,4,0
443,F,53,Married,1,$50K - $70K,Silver,2459.0,3,47,1733,0.705,2309,62,4,3,0
444,F,42,Unknown,2,Less than $50K,Silver,3413.0,6,36,0,0.0,2285,40,2,3,1
445,F,40,Married,3,Less than $50K,Silver,8712.0,1,33,991,0.114,14512,115,1,1,0
446,M,40,Married,1,$70K - $90K,Silver,18386.0,6,36,890,0.048,1698,43,4,3,0
447,M,43,Single,4,$70K - $90K,Silver,13193.0,3,25,1749,0.133,4071,64,4,2,0
448,M,46,Single,2,$50K - $70K,Silver,4129.0,4,36,0,0.0,1678,40,3,3,1
449,F,44,Married,2,Less than $50K,Silver,2337.0,5,33,698,0.299,4048,83,2,3,0
450,M,51,Single,2,$70K - $90K,Silver,13906.0,3,42,1430,0.103,3856,68,2,3,0
451,M,51,Divorced,0,$110K and Over,Silver,23898.0,4,41,0,0.0,3781,66,0,1,0
452,F,56,Married,1,Unknown,Silver,17542.0,1,49,2517,0.143,13939,138,1,2,0
453,M,46,Married,3,Less than $50K,Silver,7958.0,4,38,1559,0.196,4962,72,1,3,0
454,F,49,Single,2,Less than $50K,Silver,1635.0,4,36,1220,0.746,4807,56,0,3,0
455,F,50,Married,2,Less than $50K,Silver,1438.3,6,36,0,0.0,4697,82,1,2,0
456,M,49,Married,3,$90K - $110K,Silver,4778.0,2,45,1351,0.283,7590,74,1,1,0
457,M,54,Single,2,$90K - $110K,Silver,13769.0,2,47,0,0.0,4738,53,2,2,1
458,F,45,Married,4,Unknown,Silver,3241.0,4,37,0,0.0,4992,80,1,2,0
459,M,42,Single,2,$90K - $110K,Silver,9959.0,1,36,2517,0.253,8847,85,1,3,0
460,F,45,Unknown,5,Less than $50K,Silver,5465.0,2,37,1967,0.36,14192,115,2,2,0
461,M,49,Single,4,$110K and Over,Silver,34516.0,3,38,2517,0.073,2376,55,4,3,0
462,F,45,Divorced,2,$50K - $70K,Silver,2788.0,5,36,1826,0.655,4437,67,3,3,0
463,F,44,Married,5,Less than $50K,Silver,4453.0,3,40,973,0.219,3239,66,4,3,0
464,F,58,Married,3,$50K - $70K,Silver,4669.0,5,46,1913,0.41,4363,73,1,3,0
465,F,59,Single,0,Less than $50K,Silver,3030.0,4,48,1251,0.413,4724,71,2,2,0
466,F,54,Married,1,$50K - $70K,Silver,1632.0,6,46,351,0.215,2532,43,3,4,1
467,F,42,Single,1,Less than $50K,Silver,3241.0,4,35,0,0.0,2152,43,3,3,1
468,F,44,Divorced,1,Unknown,Silver,17116.0,3,36,1289,0.075,3632,50,1,2,0
469,F,44,Single,3,Unknown,Silver,3269.0,2,40,0,0.0,5022,85,3,1,0
470,F,50,Single,2,Less than $50K,Silver,1529.0,2,45,710,0.464,4751,81,2,3,0
471,M,38,Married,1,Less than $50K,Silver,6236.0,6,31,1204,0.193,5389,84,3,3,0
472,M,41,Married,4,$50K - $70K,Gold,16268.0,3,36,817,0.05,13969,120,2,3,0
473,F,52,Single,3,Less than $50K,Silver,2437.0,2,38,0,0.0,3068,53,4,3,1
474,F,37,Single,4,Less than $50K,Silver,1438.3,6,36,0,0.0,4815,84,3,2,0
475,M,47,Married,2,$70K - $90K,Gold,34516.0,4,32,1468,0.043,1330,32,2,2,0
476,F,60,Single,0,Less than $50K,Silver,3302.0,3,48,2517,0.762,4613,85,3,2,0
477,F,51,Single,1,Less than $50K,Silver,1438.3,4,47,0,0.0,4242,70,1,3,0
478,M,53,Married,2,$70K - $90K,Silver,6658.0,3,46,1761,0.264,1309,40,3,2,0
479,F,44,Single,2,Less than $50K,Silver,1438.3,5,36,0,0.0,1944,36,4,2,1
480,F,54,Married,2,Less than $50K,Silver,3312.0,3,46,1624,0.49,1973,55,3,3,0
481,F,47,Divorced,3,Less than $50K,Silver,1438.3,3,42,0,0.0,4735,87,0,4,0
482,M,35,Single,2,$110K and Over,Silver,27389.0,4,36,1250,0.046,2754,60,3,2,0
483,M,44,Single,1,$70K - $90K,Silver,16739.0,3,37,1229,0.073,4014,69,4,1,0
484,F,35,Single,1,$50K - $70K,Silver,2546.0,3,16,1348,0.529,4145,75,2,2,0
485,M,50,Single,4,$90K - $110K,Silver,14804.0,3,36,1696,0.115,15237,111,4,2,0
486,M,40,Single,2,$70K - $90K,Silver,10880.0,1,28,2025,0.186,4957,90,3,2,0
487,F,60,Divorced,1,$50K - $70K,Silver,2802.0,4,52,2517,0.898,4392,81,3,2,0
488,F,50,Married,2,Less than $50K,Silver,9546.0,2,38,960,0.101,14211,111,1,1,0
489,M,54,Divorced,4,$110K and Over,Silver,33791.0,6,36,1960,0.058,1047,31,2,3,0
490,M,54,Married,2,$90K - $110K,Silver,12217.0,4,42,0,0.0,1110,21,3,2,0
491,F,41,Married,3,Less than $50K,Silver,2873.0,6,36,1247,0.434,3943,80,4,6,0
492,M,48,Single,4,$90K - $110K,Silver,11862.0,1,36,2517,0.212,643,16,1,3,1
493,M,35,Married,2,$50K - $70K,Silver,2967.0,3,21,1843,0.621,1673,58,1,3,0
494,F,56,Single,3,Unknown,Silver,1438.3,5,36,0,0.0,4919,83,3,1,0
495,F,46,Married,4,$50K - $70K,Silver,1925.0,1,36,1202,0.624,4343,66,1,3,0
496,M,47,Married,3,$70K - $90K,Silver,4284.0,5,36,1900,0.444,4948,85,3,1,0
497,M,44,Divorced,3,$70K - $90K,Gold,34516.0,2,34,1652,0.048,8450,90,3,3,0
498,F,42,Married,3,Less than $50K,Silver,3794.0,2,33,1544,0.407,7872,80,1,3,0
499,F,44,Unknown,2,Less than $50K,Silver,2561.0,3,34,1491,0.582,4869,70,2,2,0
500,M,55,Married,2,$70K - $90K,Silver,16427.0,3,36,1682,0.102,1579,36,3,4,0
501,F,54,Single,2,Unknown,Silver,8827.0,1,36,0,0.0,2643,50,3,3,1
502,F,53,Single,5,Less than $50K,Silver,1438.3,3,38,0,0.0,1935,47,3,2,1
503,F,65,Single,1,Unknown,Silver,5018.0,5,36,1131,0.225,4028,81,2,1,0
504,M,48,Married,3,$110K and Over,Silver,32777.0,2,36,0,0.0,4520,75,2,3,0
505,M,50,Single,2,$70K - $90K,Silver,8074.0,3,36,0,0.0,4347,66,1,1,0
506,F,35,Married,4,Unknown,Silver,3379.0,2,25,587,0.174,5121,80,2,3,0
507,F,46,Married,2,$50K - $70K,Silver,1963.0,6,38,1112,0.566,4821,67,1,3,0
508,M,50,Divorced,4,$70K - $90K,Silver,13911.0,4,44,2160,0.155,2204,60,3,2,0
509,M,44,Married,3,$110K and Over,Silver,3977.0,2,31,1325,0.333,4076,62,3,2,0
510,F,53,Divorced,4,$50K - $70K,Silver,10948.0,3,43,482,0.044,16230,111,2,1,0
511,F,49,Married,1,$50K - $70K,Silver,3943.0,5,37,1135,0.288,4180,82,4,2,0
512,F,60,Married,2,Less than $50K,Silver,4167.0,6,41,0,0.0,5039,85,2,2,0
513,M,45,Married,3,$70K - $90K,Silver,17072.0,2,36,1519,0.089,8591,99,1,5,0
514,M,41,Married,4,$90K - $110K,Silver,5037.0,1,22,1670,0.332,4379,67,3,2,0
515,F,54,Single,1,Unknown,Silver,1874.0,3,41,0,0.0,2535,55,3,3,1
516,F,61,Married,0,Less than $50K,Silver,2194.0,4,55,1512,0.689,4069,80,3,2,0
517,F,34,Single,4,Unknown,Gold,30702.0,6,29,673,0.022,2652,64,2,2,0
518,M,47,Married,3,$70K - $90K,Silver,1591.0,5,36,894,0.562,3698,79,2,3,0
519,F,53,Single,1,Unknown,Silver,11012.0,3,44,1328,0.121,3793,86,2,2,0
520,M,44,Married,3,$50K - $70K,Silver,2534.0,4,36,1706,0.673,3965,57,1,2,0
521,F,40,Married,4,$50K - $70K,Gold,16191.0,1,32,0,0.0,13452,107,3,2,0
522,F,44,Divorced,3,Less than $50K,Silver,1693.0,3,32,1457,0.861,2829,42,2,3,1
523,M,40,Unknown,3,$50K - $70K,Silver,4802.0,2,30,1701,0.354,4821,66,2,2,0
524,M,48,Married,3,$50K - $70K,Silver,2592.0,3,35,0,0.0,4177,85,3,1,0
525,F,47,Single,3,Less than $50K,Silver,1965.0,3,36,1175,0.598,4579,87,4,1,0
526,M,45,Single,3,$90K - $110K,Silver,9086.0,6,36,1254,0.138,3906,81,4,2,0
527,M,45,Married,5,$70K - $90K,Silver,6895.0,1,38,2314,0.336,8778,85,3,2,0
528,M,47,Divorced,4,$90K - $110K,Silver,17504.0,4,39,476,0.027,10468,66,4,3,1
529,F,38,Single,2,Less than $50K,Silver,2264.0,5,32,0,0.0,1204,28,3,3,0
530,M,51,Single,1,$90K - $110K,Silver,18749.0,6,41,1314,0.07,1381,33,2,2,0
531,F,38,Single,1,Less than $50K,Silver,3119.0,6,33,2517,0.807,2492,50,3,2,1
532,F,47,Single,2,Less than $50K,Silver,4822.0,2,40,1882,0.39,13816,121,2,2,0
533,F,48,Single,1,Less than $50K,Silver,1860.0,5,41,1054,0.567,5163,73,1,1,0
534,F,42,Single,4,$50K - $70K,Silver,2827.0,2,28,1896,0.671,3891,81,2,2,0
535,M,53,Married,3,$90K - $110K,Silver,9106.0,5,47,975,0.107,3863,74,1,2,0
536,M,59,Married,0,Less than $50K,Silver,1570.0,5,51,1028,0.655,1430,28,4,3,0
537,M,47,Married,3,$50K - $70K,Silver,6692.0,6,41,1897,0.283,3902,76,4,3,0
538,F,43,Divorced,4,Less than $50K,Silver,8203.0,2,32,0,0.0,2613,46,2,3,1
539,F,40,Single,3,Less than $50K,Silver,3319.0,4,30,0,0.0,4840,44,2,3,1
540,M,46,Unknown,3,$90K - $110K,Silver,1530.0,6,37,0,0.0,4256,78,3,4,0
541,M,44,Single,4,$110K and Over,Silver,8396.0,5,37,1672,0.199,1475,35,3,3,0
542,M,40,Married,2,$90K - $110K,Silver,7840.0,3,36,0,0.0,4062,71,3,4,0
543,F,40,Married,3,Unknown,Silver,6888.0,1,25,1878,0.273,9038,64,3,2,1
544,F,49,Married,1,Unknown,Silver,8519.0,3,36,0,0.0,3698,65,2,1,0
545,M,44,Single,4,$70K - $90K,Silver,18721.0,3,36,1568,0.084,4537,81,2,1,0
546,M,50,Single,2,$90K - $110K,Silver,3495.0,5,44,0,0.0,2131,41,4,2,1
547,M,40,Married,3,$90K - $110K,Silver,20371.0,5,36,1832,0.09,1665,45,2,3,0
548,F,55,Married,3,Less than $50K,Silver,1438.3,5,44,0,0.0,4755,76,1,1,0
549,F,54,Married,2,Unknown,Silver,3014.0,5,46,794,0.263,1488,30,2,3,0
550,F,26,Single,0,Less than $50K,Silver,1486.0,3,22,0,0.0,4535,82,3,1,0
551,F,42,Married,1,Less than $50K,Silver,1438.3,3,37,0,0.0,4154,78,0,3,0
552,M,64,Married,0,Less than $50K,Silver,2215.0,6,56,1915,0.865,1270,27,0,1,0
553,F,54,Married,3,Less than $50K,Silver,1438.3,4,42,1108,0.77,4776,90,3,2,0
554,M,46,Divorced,3,$90K - $110K,Silver,3673.0,6,40,2292,0.624,1257,34,3,3,0
555,F,42,Married,3,Less than $50K,Silver,4328.0,4,36,1749,0.404,4593,72,2,3,0
556,M,32,Single,1,$90K - $110K,Silver,3371.0,2,15,1530,0.454,13432,118,1,2,0
557,F,56,Unknown,1,$50K - $70K,Silver,8331.0,2,36,0,0.0,14324,103,3,1,0
558,F,57,Single,1,Less than $50K,Silver,2564.0,4,44,1258,0.491,2673,43,2,3,1
559,F,49,Single,2,Less than $50K,Silver,2018.0,6,41,1366,0.677,4842,69,1,3,0
560,F,44,Single,1,$50K - $70K,Silver,4142.0,3,38,2517,0.608,2104,44,5,2,1
561,F,34,Married,3,$50K - $70K,Silver,2275.0,6,25,1468,0.645,4977,88,2,2,0
